Name;Position;Age;Height_i;Weight;Salary;Points;Rebounds;Assists
Juhann Begarin;SG;19;6.5;185;;;;
Jaylen Brown;SG;24;6.6;223;26758928.0;24.7;6.0;3.4
Kris Dunn;PG;27;6.3;205;5005350.0;1.3;1.5;0.5
Carsen Edwards;PG;23;5.11;200;1782621.0;4.0;0.8;0.5
Tacko Fall;C;25;7.5;311;;2.5;2.7;0.2
Bruno Fernando;F;23;6.9;240;1782621.0;1.5;2.4;0.3
Al Horford;C;35;6.9;240;27000000.0;14.2;6.7;3.4
Enes Kanter;C;29;6.1;250;1669178.0;11.2;11.0;1.2
Luke Kornet;C;26;7.2;250;;3.4;2.2;0.8
Romeo Langford;SG;21;6.4;216;3804360.0;3.1;1.9;0.7
Aaron Nesmith;SF;21;6.5;215;3631200.0;4.7;2.8;0.5
Jabari Parker;PF;26;6.8;245;2283034.0;5.5;3.2;0.8
Payton Pritchard;PG;23;6.1;195;2137440.0;7.7;2.4;1.8
Josh Richardson;SG;27;6.5;200;11615328.0;12.1;3.3;2.6
Dennis Schroder;PG;27;6.3;172;5890000.0;15.4;3.5;5.8
Marcus Smart;PG;27;6.3;220;14339285.0;13.1;3.5;5.7
Jayson Tatum;SF;23;6.8;210;28103500.0;26.4;7.4;4.3
Grant Williams;PF;22;6.6;236;2617800.0;4.7;2.8;1.0
Robert Williams III;C;23;6.8;237;3661976.0;8.0;6.9;1.8
LaMarcus Aldridge;F;36;6.11;250;;13.5;4.5;1.9
DeAndre' Bembry;SG;27;6.5;210;1669178.0;5.7;2.9;2.1
Bruce Brown;SF;25;6.4;202;4736102.0;8.8;5.4;1.6
Jevon Carter;PG;25;6.1;200;3650000.0;4.1;1.5;1.2
Nicolas Claxton;PF;22;6.11;215;1782621.0;6.6;5.2;0.9
Sekou Doumbouya;SF;20;6.8;230;3613680.0;5.1;2.6;0.8
Kevin Durant;PF;32;6.1;240;42018900.0;26.9;7.1;5.6
Kessler Edwards;SF;21;6.8;215;;;;
RaiQuan Gray;PF;22;6.8;260;;;;
Blake Griffin;PF;32;6.9;250;1669178.0;11.0;4.9;3.0
James Harden;SG;32;6.5;220;44310840.0;24.6;7.9;10.8
Joe Harris;SF;30;6.6;220;17357143.0;14.1;3.6;1.9
Kyrie Irving;PG;29;6.2;195;35328700.0;26.9;4.8;6.0
Mike James;PG;31;6.1;175;;7.7;2.5;4.2
Alize Johnson;PF;25;6.7;212;1762796.0;5.2;5.0;0.8
James Johnson;PF;34;6.7;240;1669178.0;7.2;3.5;1.9
Tyler Johnson;SG;29;6.3;186;;5.4;2.0;1.2
Timothe Luwawu-Cabarrot;SG;26;6.7;220;;6.4;2.2;1.2
Patty Mills;PG;33;6.1;180;5890000.0;10.8;1.7;2.4
Paul Millsap;PF;36;6.7;257;;9.0;4.7;1.8
Jahlil Okafor;C;25;6.1;270;2130023.0;5.4;2.4;0.5
Reggie Perry;PF;21;6.8;250;;3.0;2.8;0.5
Day'Ron Sharpe;C;19;6.11;265;2009040.0;;;
Cameron Thomas;SG;19;6.4;210;2036280.0;;;
Marcus Zegarowski;PG;23;6.2;181;;;;
Dwayne Bacon;SG;26;6.6;221;1824003.0;10.9;3.1;1.3
RJ Barrett;SG;21;6.6;214;8623920.0;17.6;5.8;3.0
Alec Burks;SG;30;6.6;214;9536000.0;12.7;4.6;2.2
Evan Fournier;G;28;6.7;205;17000000.0;17.1;3.0;3.4
Taj Gibson;C;36;6.9;232;4910000.0;5.4;5.6;0.8
Quentin Grimes;SG;21;6.5;205;2168760.0;;;
Jared Harper;PG;23;5.1;175;;0.4;0.3;0.1
Kevin Knox II;SF;22;6.7;215;5845979.0;3.9;1.5;0.5
Miles McBride;PG;20;6.2;200;925258.0;;;
